Geneid	Chr	Start	End	Length
XP_003662228.1	NC_016473;NC_016473;NC_016473;NC_016473;NC_016473;NC_016473;NC_016473;NC_016473;NC_016473	4754598;4754762;4755022;4756023;4756373;4756829;4757036;4757209;4757414	4754698;4754892;4755953;4756317;4756746;4756980;4757150;4757346;4757536	2361
XP_003662229.1	NC_016473	4759508	4761352	1845
XP_003662230.1	NC_016473	4763215	4763403	189
XP_003662231.1	NC_016473;NC_016473	4763929;4766520	4766313;4766564	2430
XP_003662232.1	NC_016473;NC_016473;NC_016473;NC_016473	4767334;4768435;4768523;4769269	4768379;4768470;4769175;4769276	1743
XP_003662233.1	NC_016473	4770237	4771052	816
XP_003662234.1	NC_016473	4772659	4774212	1554
XP_003662235.1	NC_016473;NC_016473	4775133;4777691	4777613;4777813	2604
XP_003662236.1	NC_016473	4781151	4782008	858
XP_003662237.1	NC_016473;NC_016473	4782086;4782597	4782489;4782660	468
XP_003662238.1	NC_016473;NC_016473	4785134;4786754	4786679;4787397	2190
MYCTH_t66	NC_016473	4789727	4789842	116
XP_003662239.1	NC_016473;NC_016473;NC_016473	4790305;4790535;4791423	4790472;4791365;4791824	1401
XP_003662240.1	NC_016473;NC_016473	4792646;4792818	4792757;4793536	831
XP_003662241.1	NC_016473;NC_016473;NC_016473;NC_016473	4794248;4794504;4795535;4796116	4794436;4795470;4796008;4796351	1866
XP_003662242.1	NC_016473;NC_016473;NC_016473	4797381;4797878;4798624	4797767;4798513;4798686	1086
XP_003662243.1	NC_016473;NC_016473;NC_016473	4800033;4800728;4801024	4800673;4800971;4801029	891
XP_003662244.1	NC_016473;NC_016473;NC_016473	4801691;4802062;4804442	4801998;4803148;4805035	1989
XP_003662245.1	NC_016473;NC_016473	4806627;4807132	4806950;4807812	1005
XP_003662246.1	NC_016473;NC_016473;NC_016473;NC_016473;NC_016473;NC_016473;NC_016473;NC_016473	4808613;4809321;4809741;4809824;4810049;4811231;4811716;4811839	4809226;4809663;4809771;4809992;4810260;4811538;4811787;4811901	1812
XP_003662247.1	NC_016473;NC_016473	4812370;4812625	4812540;4813725	1272
XP_003662248.1	NC_016473;NC_016473	4816178;4816727	4816653;4818236	1986
XP_003662249.1	NC_016473;NC_016473;NC_016473;NC_016473;NC_016473;NC_016473	4818739;4818860;4818976;4819513;4819936;4820036	4818801;4818888;4819329;4819826;4819936;4820564	1290
XP_003662250.1	NC_016473;NC_016473;NC_016473;NC_016473	4821771;4821962;4822157;4822954	4821870;4822079;4822892;4823298	1299
XP_003662251.1	NC_016473;NC_016473;NC_016473	4824595;4824931;4825480	4824858;4825382;4825837	1074
XP_003662252.1	NC_016473;NC_016473	4829598;4829858	4829791;4831283	1620
XP_003662253.1	NC_016473;NC_016473;NC_016473	4832504;4832738;4833496	4832588;4833325;4833965	1143
XP_003662254.1	NC_016473;NC_016473	4834275;4835882	4835777;4837033	2655
XP_003662255.1	NC_016473;NC_016473;NC_016473;NC_016473;NC_016473	4839016;4839168;4839655;4839778;4840097	4839094;4839588;4839713;4840019;4840660	1365
XP_003662256.1	NC_016473;NC_016473	4841225;4841472	4841308;4841990	603
XP_003662257.1	NC_016473;NC_016473	4842860;4843272	4843167;4843917	954
XP_003662258.1	NC_016473;NC_016473;NC_016473	4844505;4845891;4846108	4845812;4846041;4846430	1782
XP_003662259.1	NC_016473	4847441	4847710	270
XP_003662260.1	NC_016473;NC_016473;NC_016473;NC_016473;NC_016473	4849452;4849623;4849828;4850052;4852393	4849550;4849773;4849990;4852338;4852434	2742
XP_003662261.1	NC_016473;NC_016473;NC_016473;NC_016473	4853279;4853666;4854135;4854249	4853538;4854013;4854164;4854324	714
XP_003662262.1	NC_016473;NC_016473	4855065;4855451	4855289;4855813	588
XP_003662263.1	NC_016473	4856808	4857410	603
XP_003662264.1	NC_016473;NC_016473;NC_016473;NC_016473	4858444;4858554;4858709;4859907	4858500;4858640;4859853;4859952	1335
XP_003662265.1	NC_016473;NC_016473	4860364;4860738	4860557;4861449	906
XP_003662266.1	NC_016473;NC_016473;NC_016473;NC_016473;NC_016473;NC_016473	4861836;4861926;4862124;4862819;4862919;4863154	4861865;4862045;4862626;4862849;4863041;4863198	852
XP_003662267.1	NC_016473;NC_016473;NC_016473;NC_016473;NC_016473;NC_016473;NC_016473;NC_016473;NC_016473	4863918;4864041;4864495;4865570;4865779;4865872;4865984;4866079;4866299	4863957;4864429;4865490;4865718;4865814;4865898;4866009;4866129;4866324	1740
XP_003662268.1	NC_016473;NC_016473;NC_016473;NC_016473	4867502;4867831;4867926;4868160	4867755;4867854;4868086;4868194	474
XP_003662269.1	NC_016473;NC_016473;NC_016473;NC_016473	4869504;4869714;4869949;4870562	4869654;4869889;4870503;4870660	981
XP_003662270.1	NC_016473;NC_016473	4870882;4871380	4871236;4871604	580
XP_003662271.1	NC_016473;NC_016473	4872293;4872366	4872310;4873625	1278
XP_003662272.1	NC_016473;NC_016473	4874491;4874782	4874618;4875781	1128
XP_003662273.1	NC_016473;NC_016473;NC_016473	4876188;4876480;4876705	4876413;4876636;4876705	384
XP_003662274.1	NC_016473;NC_016473;NC_016473	4879078;4879961;4880239	4879880;4880168;4880286	1059
XP_003662275.1	NC_016473;NC_016473;NC_016473	4881321;4882770;4883192	4882709;4883130;4883361	1920
XP_003662276.1	NC_016473	4885521	4886531	1011
XP_003662277.1	NC_016473	4889554	4891845	2292
XP_003662278.1	NC_016473;NC_016473;NC_016473;NC_016473;NC_016473;NC_016473	4896808;4897001;4897141;4897415;4897661;4897923	4896906;4897067;4897390;4897606;4897839;4899829	2694
XP_003662279.1	NC_016473	4901667	4904951	3285
XP_003662280.1	NC_016473;NC_016473;NC_016473;NC_016473;NC_016473	4905279;4906297;4906507;4906639;4907079	4906226;4906449;4906572;4906991;4907319	1761
XP_003662281.1	NC_016473;NC_016473;NC_016473;NC_016473	4908099;4908520;4908902;4909040	4908404;4908813;4908949;4909222	831
XP_003662282.1	NC_016473;NC_016473	4910266;4913163	4913080;4913311	2964
XP_003662283.1	NC_016473;NC_016473;NC_016473;NC_016473	4914037;4914346;4914723;4914899	4914268;4914635;4914831;4915638	1371
XP_003662284.1	NC_016473;NC_016473;NC_016473	4916608;4918633;4919867	4918542;4919801;4921019	4257
XP_003662285.1	NC_016473;NC_016473	4922826;4923640	4923578;4926381	3495
XP_003662286.1	NC_016473	4929818	4931407	1590
XP_003662287.1	NC_016473;NC_016473	4932963;4933392	4933203;4934095	945
XP_003662288.1	NC_016473;NC_016473;NC_016473;NC_016473	4934854;4935660;4936466;4938641	4935599;4936405;4938515;4938695	3597
XP_003662289.1	NC_016473;NC_016473;NC_016473	4940818;4941758;4941924	4941682;4941795;4941926	906
XP_003662290.1	NC_016473	4942467	4943306	840
XP_003662291.1	NC_016473;NC_016473;NC_016473	4943809;4944190;4946659	4944081;4946569;4946663	2658
XP_003662292.1	NC_016473;NC_016473;NC_016473	4947235;4947393;4947503	4947341;4947447;4949074	1734
XP_003662293.1	NC_016473;NC_016473;NC_016473	4950216;4950331;4956367	4950233;4956297;4956540	6159
XP_003662294.1	NC_016473;NC_016473;NC_016473;NC_016473	4958085;4958785;4959147;4959893	4958717;4959080;4959732;4959910	1533
XP_003662295.1	NC_016473	4962787	4964337	1551
XP_003662296.1	NC_016473;NC_016473;NC_016473;NC_016473;NC_016473	4965447;4965630;4965811;4965886;4965970	4965575;4965754;4965825;4965899;4966016	330
XP_003662297.1	NC_016473	4969527	4971542	2016
XP_003662298.1	NC_016473;NC_016473;NC_016473;NC_016473;NC_016473	4972608;4973350;4974251;4974413;4974626	4973288;4974183;4974357;4974575;4975693	2853
XP_003662299.1	NC_016473;NC_016473;NC_016473	4976749;4977607;4978339	4977455;4978200;4978375	1338
XP_003662300.1	NC_016473	4979292	4981268	1977
XP_003662301.1	NC_016473;NC_016473	4982788;4983371	4983294;4983694	831
XP_003662302.1	NC_016473;NC_016473;NC_016473;NC_016473	4984114;4984298;4984471;4984702	4984175;4984323;4984648;4984756	321
XP_003662303.1	NC_016473;NC_016473	4986436;4987938	4987858;4988089	1575
XP_003662304.1	NC_016473;NC_016473;NC_016473;NC_016473	4989446;4989920;4990324;4990538	4989458;4990224;4990457;4990589	504
XP_003662305.1	NC_016473;NC_016473	4991270;4991888	4991778;4992230	852
XP_003662306.1	NC_016473;NC_016473;NC_016473	4992913;4993078;4994286	4993010;4994169;4994379	1284
XP_003662307.1	NC_016473	4994974	4997355	2382
XP_003662308.1	NC_016473;NC_016473	4997767;4998303	4998203;4998615	750
XP_003662309.1	NC_016473;NC_016473	4999332;4999485	4999383;5000284	852
XP_003662310.1	NC_016473	5000990	5001727	738
XP_003662311.1	NC_016473;NC_016473	5002097;5002801	5002612;5002854	570
XP_003662312.1	NC_016473;NC_016473	5003985;5004410	5004303;5005032	942
XP_003662313.1	NC_016473;NC_016473;NC_016473;NC_016473	5005362;5005625;5005762;5005905	5005438;5005664;5005811;5005928	191
XP_003662314.1	NC_016473;NC_016473	5007092;5007969	5007897;5008482	1320
XP_003662315.1	NC_016473;NC_016473	5009750;5010015	5009868;5010273	378
XP_003662316.1	NC_016473;NC_016473;NC_016473;NC_016473;NC_016473;NC_016473	5011396;5011594;5011785;5011927;5012029;5012732	5011544;5011728;5011865;5011974;5012657;5012832	1143
XP_003662317.1	NC_016473	5014603	5015865	1263
XP_003662318.1	NC_016473;NC_016473;NC_016473	5019143;5019268;5020176	5019194;5020114;5020485	1209
XP_003662319.1	NC_016473	5023742	5024053	312
XP_003662320.1	NC_016473	5024637	5027435	2799
XP_003662321.1	NC_016473;NC_016473	5028342;5029925	5029796;5030026	1557
XP_003662322.1	NC_016473;NC_016473;NC_016473;NC_016473;NC_016473;NC_016473;NC_016473	5031120;5031640;5031818;5032000;5032121;5032205;5032328	5031563;5031762;5031933;5032058;5032143;5032275;5032367	876
XP_003662323.1	NC_016473;NC_016473;NC_016473;NC_016473	5033263;5033409;5033690;5033905	5033347;5033622;5033840;5034408	954
XP_003662324.1	NC_016473;NC_016473;NC_016473	5035300;5035508;5035717	5035388;5035563;5035892	321
XP_003662325.1	NC_016473;NC_016473;NC_016473;NC_016473;NC_016473	5036463;5036737;5037189;5037410;5037855	5036663;5037136;5037355;5037795;5038047	1347
XP_003662326.1	NC_016473;NC_016473;NC_016473;NC_016473	5039060;5039214;5039380;5039593	5039128;5039291;5039521;5039639	336
XP_003662327.1	NC_016473;NC_016473;NC_016473	5042359;5044720;5045204	5044669;5045115;5046222	3726
XP_003662328.1	NC_016473;NC_016473;NC_016473	5046696;5047869;5048017	5047800;5047957;5048094	1272
XP_003662329.1	NC_016473;NC_016473	5049028;5049913	5049778;5050082	921
XP_003662330.1	NC_016473	5051085	5051576	492
XP_003662331.1	NC_016473	5051941	5052207	267
XP_003662332.1	NC_016473;NC_016473;NC_016473	5054489;5054831;5055201	5054761;5055125;5055673	1041
XP_003662333.1	NC_016473;NC_016473;NC_016473	5056159;5056469;5056828	5056353;5056747;5057526	1173
XP_003662334.1	NC_016473	5058819	5061722	2904
XP_003662335.1	NC_016473	5064348	5064503	156
XP_003662336.1	NC_016473;NC_016473;NC_016473	5065885;5065954;5067333	5065888;5067268;5067981	1968
XP_003662337.1	NC_016473;NC_016473;NC_016473;NC_016473;NC_016473	5069523;5069789;5070004;5070108;5070255	5069621;5069837;5070041;5070203;5070302	330
XP_003662338.1	NC_016473;NC_016473;NC_016473	5070682;5070926;5071369	5070726;5071310;5071598	660
XP_003662339.1	NC_016473	5073588	5075399	1812
XP_003662340.1	NC_016473	5077239	5081006	3768
XP_003662341.1	NC_016473;NC_016473;NC_016473;NC_016473;NC_016473;NC_016473;NC_016473;NC_016473;NC_016473;NC_016473;NC_016473	5081620;5081714;5082166;5082285;5082368;5082462;5082537;5082642;5082819;5083106;5083232	5081651;5082110;5082232;5082313;5082400;5082481;5082585;5082746;5083033;5083147;5083445	1203
XP_003662342.1	NC_016473;NC_016473;NC_016473	5084291;5085542;5085643	5085468;5085603;5086133	1731
XP_003662343.1	NC_016473;NC_016473;NC_016473	5087167;5089913;5090430	5089848;5090293;5090521	3155
XP_003662344.1	NC_016473	5092137	5093792	1656
XP_003662345.1	NC_016473;NC_016473;NC_016473;NC_016473;NC_016473	5094596;5095301;5095706;5095847;5096089	5095206;5095615;5095772;5095979;5096201	1239
XP_003662346.1	NC_016473;NC_016473;NC_016473	5097432;5097770;5097917	5097704;5097861;5098055	504
XP_003662347.1	NC_016473	5099935	5101278	1344
XP_003662348.1	NC_016473;NC_016473	5101505;5101857	5101607;5103193	1440
XP_003662349.1	NC_016473;NC_016473;NC_016473;NC_016473;NC_016473	5103850;5103928;5104144;5104298;5104580	5103856;5103990;5104238;5104510;5104966	765
XP_003662350.1	NC_016473;NC_016473;NC_016473;NC_016473	5106960;5107202;5107552;5107835	5106972;5107439;5107717;5107966	549
XP_003662351.1	NC_016473;NC_016473;NC_016473	5108744;5108895;5109256	5108814;5108987;5109574	483
XP_003662352.1	NC_016473;NC_016473	5112799;5113102	5113031;5116126	3258
XP_003662353.1	NC_016473;NC_016473	5117164;5117901	5117831;5118024	792
XP_003662354.1	NC_016473;NC_016473;NC_016473;NC_016473	5121280;5123034;5123191;5123511	5121326;5123124;5123427;5123570	435
XP_003662355.1	NC_016473	5123636	5123839	204
XP_003662356.1	NC_016473	5138196	5138690	495
XP_003662357.1	NC_016473	5141115	5142233	1119
XP_003662358.1	NC_016473	5142442	5144445	2004
XP_003662359.1	NC_016473;NC_016473	5145812;5146133	5146015;5146960	1032
XP_003662360.1	NC_016473;NC_016473;NC_016473	5147914;5148416;5148830	5148317;5148737;5149045	942
XP_003662361.1	NC_016473	5150696	5150986	291
XP_003662362.1	NC_016473	5151895	5152440	546
XP_003662363.1	NC_016473;NC_016473	5153120;5153446	5153388;5154601	1425
XP_003662364.1	NC_016473;NC_016473;NC_016473	5155143;5155366;5155710	5155316;5155661;5155923	684
XP_003662365.1	NC_016473	5156888	5157073	186
XP_003662366.1	NC_016473;NC_016473	5159200;5161324	5161129;5161448	2055
XP_003662367.1	NC_016473;NC_016473	5163298;5163667	5163588;5164608	1233
XP_003662368.1	NC_016473	5165507	5166448	942
XP_003662369.1	NC_016473;NC_016473	5167139;5167657	5167450;5167776	432
XP_003662370.1	NC_016473	5168921	5170003	1083
XP_003662371.1	NC_016473;NC_016473	5170151;5170551	5170466;5170831	597
XP_003662372.1	NC_016473;NC_016473;NC_016473	5171498;5171780;5172093	5171691;5171894;5172269	486
XP_003662373.1	NC_016473;NC_016473;NC_016473;NC_016473;NC_016473	5175196;5175535;5175773;5176020;5176236	5175425;5175683;5175915;5176167;5176687	1122
XP_003662374.1	NC_016473;NC_016473	5176947;5177312	5177174;5177419	336
XP_003662375.1	NC_016473;NC_016473;NC_016473	5178173;5178343;5178986	5178251;5178872;5179261	885
XP_003662376.1	NC_016473;NC_016473;NC_016473;NC_016473	5180901;5181738;5182314;5182717	5181660;5182210;5182645;5182804	1653
XP_003662377.1	NC_016473	5185595	5186503	909
XP_003662448.1	NC_016473;NC_016473;NC_016473	5187635;5187879;5188107	5187796;5187992;5188715	885
XP_003662378.1	NC_016473;NC_016473	5189160;5189627	5189422;5189930	567
XP_003662379.1	NC_016473	5191685	5192161	477
XP_003662380.1	NC_016473;NC_016473	5193230;5193748	5193566;5194565	1155
XP_003662381.1	NC_016473;NC_016473;NC_016473;NC_016473;NC_016473;NC_016473	5202308;5202608;5202863;5203765;5203969;5204169	5202509;5202787;5203702;5203872;5204091;5204272	1557
XP_003662382.1	NC_016473	5205174	5206676	1503
XP_003662383.1	NC_016473	5207396	5208997	1602
XP_003662384.1	NC_016473;NC_016473;NC_016473	5210577;5210690;5210943	5210627;5210885;5212906	2211
XP_003662385.1	NC_016473;NC_016473	5217940;5218152	5218011;5218271	192
XP_003662386.1	NC_016473	5218884	5219807	924
XP_003662387.1	NC_016473	5226567	5228270	1704
XP_003662388.1	NC_016473;NC_016473	5230492;5230935	5230851;5231630	1056
XP_003662389.1	NC_016473	5232176	5232331	156
XP_003662390.1	NC_016473	5233596	5234510	915
XP_003662391.1	NC_016473	5234896	5238690	3795
XP_003662392.1	NC_016473;NC_016473;NC_016473;NC_016473	5239318;5240091;5240301;5240900	5240042;5240242;5240812;5241070	1560
XP_003662393.1	NC_016473;NC_016473;NC_016473	5242726;5243008;5243200	5242830;5243132;5243230	261
XP_003662394.1	NC_016473;NC_016473;NC_016473	5245548;5246904;5247147	5246852;5247095;5247461	1812
NC_016473:00023	NC_016473	5248182	5248266	85
XP_003662395.1	NC_016473	5248692	5249267	576
XP_003662396.1	NC_016473	5251668	5252753	1086
XP_003662397.1	NC_016473	5253686	5255029	1344
XP_003662398.1	NC_016473	5256137	5256700	564
XP_003662399.1	NC_016473	5258152	5260905	2754
XP_003662400.1	NC_016473;NC_016473;NC_016473;NC_016473	5261571;5262038;5262170;5262383	5261995;5262067;5262296;5262553	753
XP_003662401.1	NC_016473;NC_016473	5262899;5263587	5263487;5264224	1227
XP_003662402.1	NC_016473;NC_016473	5265193;5265898	5265769;5266157	837
XP_003662403.1	NC_016473	5281925	5282101	177
XP_003662404.1	NC_016473;NC_016473	5298247;5302812	5298366;5302850	159
XP_003662405.1	NC_016473;NC_016473;NC_016473	5306738;5306989;5307335	5306899;5307274;5307687	801
XP_003662406.1	NC_016473;NC_016473	5308176;5308961	5308908;5309127	900
XP_003662407.1	NC_016473	5310831	5312468	1638
XP_003662408.1	NC_016473;NC_016473	5313196;5314316	5314260;5314402	1152
XP_003662409.1	NC_016473;NC_016473	5314857;5315055	5314979;5316590	1659
XP_003662410.1	NC_016473;NC_016473;NC_016473	5316873;5317147;5317843	5317080;5317781;5317935	936
XP_003662411.1	NC_016473	5319289	5320227	939
XP_003662412.1	NC_016473	5320689	5322116	1428
XP_003662413.1	NC_016473;NC_016473;NC_016473;NC_016473;NC_016473	5323604;5323856;5324262;5324880;5325553	5323654;5324071;5324802;5325412;5325642	1431
XP_003662414.1	NC_016473;NC_016473;NC_016473;NC_016473;NC_016473	5329220;5329608;5329862;5330112;5330575	5329501;5329793;5330034;5330457;5330766	1179
XP_003662415.1	NC_016473	5332558	5333373	816
XP_003662416.1	NC_016473	5335586	5336671	1086
NC_016473:00024	NC_016473	5337326	5337407	82
XP_003662417.1	NC_016473;NC_016473;NC_016473	5339115;5339320;5340060	5339201;5339969;5340207	885
XP_003662418.1	NC_016473;NC_016473	5341005;5341600	5341437;5341637	471
XP_003662419.1	NC_016473;NC_016473	5344140;5345415	5345357;5345558	1362
XP_003662420.1	NC_016473	5346550	5347662	1113
XP_003662421.1	NC_016473;NC_016473;NC_016473	5348581;5348905;5349127	5348836;5349051;5349290	567
XP_003662422.1	NC_016473;NC_016473	5350222;5352216	5351546;5352315	1425
XP_003662423.1	NC_016473;NC_016473;NC_016473	5353138;5353957;5354487	5353868;5354376;5354508	1173
XP_003662424.1	NC_016473;NC_016473	5354967;5355150	5355080;5355821	786
XP_003662425.1	NC_016473;NC_016473;NC_016473	5355915;5357930;5358316	5357363;5358248;5358914	2367
XP_003662426.1	NC_016473	5359812	5361314	1503
XP_003662427.1	NC_016473	5362620	5363417	798
XP_003662428.1	NC_016473	5365555	5366154	600
XP_003662429.1	NC_016473;NC_016473	5367031;5367252	5367110;5368695	1524
XP_003662430.1	NC_016473;NC_016473;NC_016473	5375072;5375342;5375517	5375128;5375449;5376650	1299
XP_003662431.1	NC_016473;NC_016473	5378323;5378660	5378568;5379448	1035
XP_003662432.1	NC_016473;NC_016473;NC_016473	5379805;5380132;5380494	5379887;5380379;5380573	411
XP_003662433.1	NC_016473;NC_016473	5381892;5382403	5382159;5383712	1578
XP_003662434.1	NC_016473;NC_016473	5387021;5387157	5387068;5388317	1209
XP_003662435.1	NC_016473;NC_016473	5389825;5390831	5390753;5391047	1146
XP_003662436.1	NC_016473;NC_016473	5391655;5392588	5392469;5393017	1245
XP_003662437.1	NC_016473	5393411	5394058	648
XP_003662438.1	NC_016473	5395613	5396953	1341
XP_003662439.1	NC_016473;NC_016473	5397603;5397754	5397664;5398177	486
XP_003662440.1	NC_016473	5398684	5400405	1722
XP_003662441.1	NC_016473;NC_016473;NC_016473	5401078;5401233;5401393	5401131;5401288;5401870	588
XP_003662442.1	NC_016473;NC_016473;NC_016473;NC_016473;NC_016473;NC_016473;NC_016473	5427715;5430852;5431612;5432290;5433526;5433934;5439324	5430779;5431434;5432238;5433472;5433825;5439209;5440325	12036
XP_003662443.1	NC_016473	5441105	5442427	1323
XP_003662444.1	NC_016473;NC_016473	5443058;5443710	5443641;5444241	1116
XP_003662445.1	NC_016473;NC_016473	5445369;5446545	5446472;5446706	1266
XP_003662446.1	NC_016473	5446973	5447239	267
XP_003662447.1	NC_016473;NC_016473	5447457;5448174	5448103;5448876	1350
XP_003662449.1	NC_016474	2782	4578	1797
XP_003662450.1	NC_016474	6126	7793	1668
XP_003662451.1	NC_016474	8647	10257	1611
XP_003662452.1	NC_016474;NC_016474;NC_016474	11384;11624;11975	11563;11926;12523	1032
XP_003662453.1	NC_016474	13820	14257	438
XP_003662454.1	NC_016474;NC_016474;NC_016474	16105;16300;17024	16196;16981;17368	1119
XP_003662455.1	NC_016474;NC_016474;NC_016474;NC_016474;NC_016474	17482;18035;18338;18838;19191	17947;18285;18778;19127;19449	1707
XP_003662456.1	NC_016474;NC_016474;NC_016474;NC_016474;NC_016474;NC_016474;NC_016474;NC_016474;NC_016474;NC_016474;NC_016474	20913;21126;21390;22111;22466;22995;23570;23810;24425;24602;24855	21053;21313;22046;22390;22612;23439;23727;24339;24540;24789;25565	3561
XP_003662457.1	NC_016474	27766	30018	2253
XP_003662458.1	NC_016474	30875	32530	1656
XP_003662459.1	NC_016474	33106	34953	1848
XP_003662460.1	NC_016474;NC_016474;NC_016474;NC_016474	36168;36749;37073;37418	36684;36989;37345;38048	1662
XP_003662461.1	NC_016474;NC_016474	38316;38979	38904;40075	1686
XP_003662462.1	NC_016474;NC_016474;NC_016474;NC_016474;NC_016474;NC_016474	45282;45934;46378;48637;49863;50029	45866;46305;46878;49749;49900;50701	3282
XP_003662463.1	NC_016474;NC_016474;NC_016474;NC_016474	51813;52021;52447;52601	51953;52370;52539;52649	633
XP_003662464.1	NC_016474;NC_016474	53591;54136	54053;54797	1125
XP_003662465.1	NC_016474;NC_016474	56670;57496	57385;57673	894
XP_003662466.1	NC_016474	65137	65433	297
XP_003662467.1	NC_016474;NC_016474	78330;79117	79053;79400	1008
XP_003662468.1	NC_016474;NC_016474	79627;81131	81048;81328	1620
XP_003662469.1	NC_016474;NC_016474	82319;82750	82607;83879	1419
XP_003662470.1	NC_016474	84957	85547	591
MYCTH_t98	NC_016474	86102	86183	82
XP_003662471.1	NC_016474	86482	87495	1014
XP_003662472.1	NC_016474	88099	88449	351
XP_003662473.1	NC_016474	88873	89262	390
XP_003662474.1	NC_016474;NC_016474	90951;91198	91128;91745	726
XP_003662475.1	NC_016474	111128	113122	1995
XP_003662476.1	NC_016474;NC_016474	115294;116561	116487;118633	3267
XP_003662477.1	NC_016474;NC_016474	124201;124370	124217;125024	672
XP_003662478.1	NC_016474;NC_016474	149840;150156	150077;150916	999
XP_003662479.1	NC_016474;NC_016474	152792;156621	156510;156687	3786
XP_003662480.1	NC_016474;NC_016474;NC_016474	157666;157779;157989	157689;157810;158280	348
XP_003662481.1	NC_016474;NC_016474;NC_016474	159442;160217;160423	160145;160311;160721	1098
XP_003662482.1	NC_016474;NC_016474;NC_016474;NC_016474;NC_016474	163010;163297;163956;164184;165213	163219;163890;164095;164963;165714	2226
XP_003662483.1	NC_016474;NC_016474	255781;257860	256989;258042	1392
XP_003662484.1	NC_016474;NC_016474	281421;282068	282003;282387	903
XP_003662485.1	NC_016474	283953	284990	1038
XP_003662486.1	NC_016474	285597	285830	234
XP_003662487.1	NC_016474	286127	286315	189
XP_003662488.1	NC_016474;NC_016474;NC_016474	287068;287632;288128	287340;287982;288208	705
XP_003662489.1	NC_016474;NC_016474;NC_016474	288579;289099;289645	288946;289505;289691	822
XP_003662490.1	NC_016474	290771	290941	171
XP_003662491.1	NC_016474	291888	293375	1488
XP_003662492.1	NC_016474	294525	295667	1143
XP_003662493.1	NC_016474;NC_016474;NC_016474;NC_016474;NC_016474	296678;297390;298421;298673;298890	297205;298301;298586;298789;298972	1806
XP_003662494.1	NC_016474	301012	301968	957
XP_003662495.1	NC_016474	305641	307557	1917
XP_003662496.1	NC_016474;NC_016474;NC_016474;NC_016474;NC_016474;NC_016474	308285;308460;308778;308854;309056;309340	308337;308715;308791;308917;309281;309362	636
XP_003662497.1	NC_016474;NC_016474	311037;312068	311097;312342	336
MYCTH_t78	NC_016474	316315	316400	86
XP_003662498.1	NC_016474	317318	318172	855
XP_003662499.1	NC_016474;NC_016474	319437;321696	321603;321880	2352
XP_003662500.1	NC_016474	324741	325379	639
XP_003662501.1	NC_016474	326920	327579	660
XP_003662502.1	NC_016474;NC_016474;NC_016474	329193;329895;330392	329772;330248;330501	1044
XP_003662503.1	NC_016474	331236	331982	747
XP_003662504.1	NC_016474	342441	343895	1455
XP_003662505.1	NC_016474;NC_016474	348629;348967	348898;349860	1164
XP_003662506.1	NC_016474;NC_016474;NC_016474;NC_016474;NC_016474	350667;350905;351151;351372;351553	350760;350946;351309;351472;351711	555
XP_003662507.1	NC_016474	352441	353070	630
XP_003662508.1	NC_016474	355748	357112	1365
XP_003662509.1	NC_016474;NC_016474;NC_016474	359051;359938;360482	359832;360375;360602	1341
XP_003662510.1	NC_016474;NC_016474;NC_016474;NC_016474;NC_016474	362959;363049;363225;363407;364888	362990;363166;363305;364361;364961	1260
XP_003662511.1	NC_016474;NC_016474	373032;373253	373172;374395	1284
XP_003662512.1	NC_016474;NC_016474;NC_016474;NC_016474;NC_016474;NC_016474;NC_016474;NC_016474	374992;375138;375261;375328;375410;375622;375853;376017	375075;375202;375298;375377;375568;375648;375979;376045	579
XP_003662513.1	NC_016474;NC_016474;NC_016474;NC_016474;NC_016474	377908;378300;378474;378562;378767	378072;378397;378481;378669;380267	1880
XP_003662514.1	NC_016474;NC_016474;NC_016474;NC_016474;NC_016474	381083;381515;381958;382106;382589	381424;381899;382044;382504;382872	1497
MYCTH_t79	NC_016474	383604	383685	82
XP_003662515.1	NC_016474;NC_016474;NC_016474;NC_016474;NC_016474;NC_016474	384783;384931;385162;385535;385950;386447	384868;385071;385411;385722;386232;386761	1263
XP_003662516.1	NC_016474;NC_016474;NC_016474	386958;387063;387130	387006;387096;388102	1056
XP_003662517.1	NC_016474	388507	388812	306
XP_003662518.1	NC_016474;NC_016474;NC_016474;NC_016474;NC_016474;NC_016474	389325;390763;390946;391055;391556;392105	390371;390889;390990;391499;392013;392577	2595
XP_003662519.1	NC_016474;NC_016474	393478;395167	395091;395328	1776
XP_003662520.1	NC_016474;NC_016474;NC_016474	396523;397351;397587	397234;397479;397978	1233
XP_003662521.1	NC_016474	399865	402540	2676
XP_003662522.1	NC_016474;NC_016474;NC_016474;NC_016474	407804;408288;408660;409056	408196;408576;408977;409399	1344
XP_003662523.1	NC_016474;NC_016474;NC_016474;NC_016474;NC_016474;NC_016474	413523;413862;414062;414686;414955;415127	413768;413970;414609;414879;415066;415444	1527
XP_003662524.1	NC_016474;NC_016474;NC_016474;NC_016474	417735;418784;419257;419626	418631;419119;419517;419853	1722
XP_003662525.1	NC_016474;NC_016474;NC_016474;NC_016474	420669;420998;421122;421768	420937;421025;421649;423264	2322
XP_003662526.1	NC_016474;NC_016474	424319;425064	424923;425964	1506
XP_003662527.1	NC_016474;NC_016474	426731;427486	427399;427716	900
XP_003662528.1	NC_016474	441313	441633	321
XP_003662529.1	NC_016474;NC_016474	442286;443640	443536;443975	1587
